1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,Bac,Dan Ca,Ho Mai Nhi,Sa Mac,Vong Co,83,84,85,86,87,88,89,90,91,95,96,Tizita,Bati,Anchihoye,Ambasel,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,Kawng wong yai D4,Khawng wong lek,Ranad ek,Ranad ek 2,Ranad ek 3,Ranad thum,Ranad thum lek,Roneat Ek,Sum pyi,Sum pyi
Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique
Thai,Thai,Thai,Thai,Thai,Thai,Thai,Thai,Thai,Gamelan,Gamelan,Gamelan,Gamelan,Gamelan,Gamelan,Gamelan,Gamelan,Gamelan,Gamelan,Gamelan,Gamelan,Gamelan,Gamelan,Gamelan,Gamelan,Nasca,Nasca,Nasca,Nasca,Nasca,Nasca,Nasca,Nasca,Nasca,Melanesia,Melanesia,Melanesia,Melanesia,Melanesia,Melanesia,Melanesia,Melanesia,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Asena,Nyanga,Nyanga,Matape,Matape,Sena,Zimbabwe,Malinke,Malinke,Malinke,Gambia,Gambia,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,China,China,China,China,China,China,China,China,China,Bolivia,Bolivia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Uganda,Uganda,Tanzania,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Angola,Angola,Angola,Angola,Angola,Uganda,Uganda,Sudan,Sudan,Sudan,Sudan,Ghana,Ghana,Thai,Thai,Thai,Thai,Thai,Thai,Thai,Cambodia,Cambodia,Cambodia
South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South America,South America,South America,South America,South America,South America,South America,South America,South America,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,East Asia,East Asia,East Asia,East Asia,East Asia,East Asia,East Asia,East Asia,East Asia,South America,South America,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia
"Morton, the traditional music of thailand","Morton, the traditional music of thailand",10.24821/ijcas.v2i1.1441,10.24821/ijcas.v2i1.1441,10.24821/ijcas.v2i1.1441,10.24821/ijcas.v2i1.1441,10.1109/ICEAST.2018.8434434,"Attakitmongcol, characterization of traditional thai musical scale","Attakitmongcol, characterization of traditional thai musical scale",DOI: 10.2307/852868,DOI: 10.2307/852868,10.1250/ast.14.383,10.1250/ast.14.383,"Sethares, tuning, timbre, spectrum, scale","Sethares, tuning, timbre, spectrum, scale","Sethares, tuning, timbre, spectrum, scale","Sethares, tuning, timbre, spectrum, scale","Sethares, tuning, timbre, spectrum, scale","Sethares, tuning, timbre, spectrum, scale","Sethares, tuning, timbre, spectrum, scale","Sethares, tuning, timbre, spectrum, scale","Sethares, tuning, timbre, spectrum, scale","Sethares, tuning, timbre, spectrum, scale","Sethares, tuning, timbre, spectrum, scale","Sethares, tuning, timbre, spectrum, scale",10.2307/851338 ,10.2307/851338 ,10.2307/851338 ,10.2307/851338 ,10.2307/851338 ,10.2307/851338 ,10.2307/851338 ,10.2307/851338 ,10.2307/851338 ,10.2307/851551 ,10.2307/851551 ,10.2307/851551 ,10.2307/851551 ,10.2307/851551 ,10.2307/851551 ,10.2307/851551 ,10.2307/851551 ,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v6i1.1099,10.21504/amj.v5i1.1152,10.21504/amj.v5i1.1152,10.21504/amj.v4i4.1681,10.21504/amj.v4i4.1681,10.21504/amj.v7i1.1932,10.1121/1.2828063,10.1121/1.2828063,10.1121/1.2828063,10.1121/1.2828063,"Aning, Ben, tuning the kora: a case study of the norms of a gambian musician","Aning, Ben, tuning the kora: a case study of the norms of a gambian musician",DOI: 10.2307/40285522,DOI: 10.2307/40285522,DOI: 10.2307/40285522,DOI: 10.2307/40285522,DOI: 10.2307/40285522,DOI: 10.3758/BF03210489,DOI: 10.3758/BF03210489,DOI: 10.3758/BF03210489,DOI: 10.3758/BF03210489,DOI: 10.1017/S0003598X00113432,DOI: 10.1017/S0003598X00113432,DOI: 10.1017/S0003598X00113432,DOI: 10.1017/S0003598X00113432,DOI: 10.1017/S0003598X00113432,Music in Latin America and the Caribbean: An Encyclopedic History: Volume 1 - pg 110,Music in Latin America and the Caribbean: An Encyclopedic History: Volume 1 - pg 110,Cynthia Tse Kimberlin PhD,Cynthia Tse Kimberlin PhD,Cynthia Tse Kimberlin PhD,Cynthia Tse Kimberlin PhD,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.3406/ethio.2013.1539,DOI: 10.1038/165040a0,DOI: 10.1038/165040a0,"Kubik, Gerhard. ""A Structural Examination of Homophonic Multi-Part Singing in East and Central Africa."" Anuario musical 39 (1984): 27","Kubik, Gerhard. ""A Structural Examination of Homophonic Multi-Part Singing in East and Central Africa."" Anuario musical 39 (1984): 27",https://www.jstor.org/stable/30249573,https://www.jstor.org/stable/30249573,https://www.jstor.org/stable/30249573,https://www.jstor.org/stable/30249573,https://www.jstor.org/stable/30249744,https://www.jstor.org/stable/30249744,https://www.jstor.org/stable/30249744,https://www.jstor.org/stable/30249744,https://www.jstor.org/stable/30249744,DOI: 10.2307/768436,DOI: 10.2307/768436,"Sudan, music of the blue nile province, the ingessana and berta tribes","Sudan, music of the blue nile province, the ingessana and berta tribes","Sudan, music of the blue nile province, the ingessana and berta tribes","Sudan, music of the blue nile province, the ingessana and berta tribes","Tuning Xylophones: Dagara Instruments in the Town of Nandom, North-West Ghana","Tuning Xylophones: Dagara Instruments in the Town of Nandom, North-West Ghana",John Garzoli,John Garzoli,John Garzoli,John Garzoli,John Garzoli,John Garzoli,John Garzoli,DOI: 10.1007/978-3-030-02695-0_3,DOI: 10.1007/978-3-030-02695-0_3,DOI: 10.1007/978-3-030-02695-0_3
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
169.7,184.7,155,185,180,180,173,162,188,172.1,197.3,227.6,229.6,252,233,235,231,237,243,100,133,123,166,147,158,305,212,300,452,331,308,398,349,388,161,143,260,382,308,343,122,398,243,143,161,210,65,227,136,173,132,154,136,218,98,179,131,202,201,193,199,184,199,163,255,245,222,150,208,190,179,162,160,154,154,228,323,174,178,167,127,137,189,182,166,338,375,153.61,164.06,148.58,101.62,315,203,250,264,285,225,200,210,325,135,120,353,343,338,375,339,326,309,308,333,343,314,399,387,311,355,306,290,367,332,380,348,351,266,322,344,330,384,333,239,239,689.49,162.91,166.75,168.75,221.48,185.67,182.98,149.27,127.74,175.52,179.24,236,201,247,230,240,248,247,230,180.15,176.877,173.268,165.455,141.703,188.962,145.364,141,193,244
182.9,166.9,170,180,180,180,174,149,170,279,222.7,256.9,251,240,249,248,223,237,239,145,153,166,161,145,154,208,188,347,327,290,413,323,389,379,152,235,393,303,380,403,333,202,136,166,242,172,237,141,188,217,224,243,151,131,145,162,143,239,136,173,156,214,177,189,173,173,140,172,141,126,358,148,197,215,215,180,130,182,168,180,220,216,312,99,347,166,144,188.6,173.08,189.83,240.69,210,197,178,166,155,175,190,175,210,360,345,195,185,202,179,168,228,222,174,229,240,240,117,191,178,176,192,332,127,181,133,183,179,269,183,194,191,187,172,236,254,244.63,316.81,284.5,335.47,151.9,299.67,188.36,212.25,242.91,197.86,198.51,252,275,175,218,302,200,175,218,184.142,149.08,190.628,163.364,264.859,196.846,197.443,243,206,258
165.4,173.5,180,165,165,165,166,137,155,243.5,265.6,232.1,231.8,244,243,238,239,238,225,301,275,269,267,274,258,178,190,335,304,267,303,322,312,369,110,259,180,222,188,144,172,175,175,159,137,185,175,158,186,157,184,150,182,181,119,195,171,176,207,176,144,177,161,188,202,139,148,186,185,117,154,213,223,498,138,163,204,177,173,166,128,164,197,421,182,195,185,154.05,147.37,352.94,284.13,297,304,152,177,115,140,130,340,175,120,235,171,192,197,205,175,158,161,175,151,108,177,172,162,122,234,230,123,194,189,203,209,182,173,183,144,197,162,195,238,238,256.54,220.96,227.46,223.65,276.54,254.31,159.53,177.07,127.4,135.16,121.37,257,255,275,247,196,210,275,247,164.056,199.46,179.119,131.87,164.272,187.654,205.061,110,219,172
166.6,157.7,170,170,170,170,137,167,170,256.5,253,250.4,244.7,244,235,252,247,234,250,121,117,119,119,115,96,285,188,236,222,218,237,203,207,222,239,196,288,160,164,158,231,322,201,180,231,141,159,132,138,160,168,155,217,145,214,124,190,127,167,160,150,159,130,154,168,247,168,194,130,162,161,168,143,165,182,149,192,159,165,166,125,75,193,181,164,327,162,199.74,212.64,192.31,202.14,395,201,200,156,118,190,190,140,340,345,135,291,331,268,332,361,272,322,342,375,407,351,396,296,425,289,354,307,387,373,403,303,351,368,361,372,320,329,390,235,240,368.34,143.69,113.19,149.06,219.77,162.58,173.85,135.8,177.72,168.9,183.94,196,240,283,283,242,227,283,283,171.46,171.934,148.786,192.637,187.231,160.214,158.294,192,85,332
