N,W,M,Min,Max
4,  5 ,  1,   6 ,  42.69
4,  5 ,  2,   0 ,  20.17
4,  5 ,  3,   0 ,  10.36
4,  10,  1,   10,  42.69
4,  10,  2,   1 ,  20.17
4,  10,  3,   0 ,  10.95
4,  15,  1,   13,  42.69
4,  15,  2,   1 ,  20.17
4,  15,  3,   0 ,  11.22
4,  20,  1,   14,  43.98
4,  20,  2,   2 ,  22.16
4,  20,  3,   0 ,  12.22
5,  5 ,  1,   7 ,  35.48
5,  5 ,  2,   0 ,  16.51
5,  5 ,  3,   0 ,  8.65
5,  10,  1,   11,  37.54
5,  10,  2,   1 ,  17.17
5,  10,  3,   0 ,  9.46
5,  15,  1,   14,  41.67
5,  15,  2,   2 ,  20.05
5,  15,  3,   0 ,  10.67
5,  20,  1,   15,  41.67
5,  20,  2,   2 ,  20.05
5,  20,  3,   0 ,  10.67
6,  5 ,  1,   9 ,  28.85
6,  5 ,  2,   0 ,  12.94
6,  5 ,  3,   0 ,  7.25
6,  10,  1,   13,  35.3
6,  10,  2,   1 ,  15.26
6,  10,  3,   0 ,  7.73
6,  15,  1,   15,  36.58
6,  15,  2,   2 ,  16.07
6,  15,  3,   0 ,  8.04
6,  20,  1,   16,  39.47
6,  20,  2,   3 ,  18.23
6,  20,  3,   0 ,  9.43
7,  5 ,  1,   9 ,  25.43
7,  5 ,  2,   1 ,  9.38
7,  5 ,  3,   0 ,  4.75
7,  10,  1,   13,  32.23
7,  10,  2,   2 ,  13.62
7,  10,  3,   0 ,  6.83
7,  15,  1,   16,  35.29
7,  15,  2,   2 ,  15.14
7,  15,  3,   0 ,  7.45
7,  20,  1,   17,  37.57
7,  20,  2,   3 ,  16.75
7,  20,  3,   0 ,  8.45
8,  5 ,  1,   9 ,  26.12
8,  5 ,  2,   1 ,  9.59
8,  5 ,  3,   0 ,  4.41
8,  10,  1,   14,  30.86
8,  10,  2,   2 ,  12.61
8,  10,  3,   0 ,  6.15
8,  15,  1,   16,  34.95
8,  15,  2,   2 ,  15.01
8,  15,  3,   0 ,  7.44
8,  20,  1,   18,  35.58
8,  20,  2,   3 ,  15.38
8,  20,  3,   0 ,  7.62
9,  5 ,  1,   10,  24.27
9,  5 ,  2,   1 ,  8.66
9,  5 ,  3,   0 ,  3.91
9,  10,  1,   14,  28.91
9,  10,  2,   2 ,  11.23
9,  10,  3,   0 ,  5.29
9,  15,  1,   17,  31.5
9,  15,  2,   3 ,  12.45
9,  15,  3,   0 ,  5.8
9,  20,  1,   18,  31.84
9,  20,  2,   3 ,  12.85
9,  20,  3,   0 ,  6.3
