N,W,Min,Max
4,   1,   0.00531914893617,    0.196465696465696
4,   2,   6.29E-05,    0.058254693889901
4,   3,   8.03E-07,    0.018913590317682
5,   1,   0.015873015873016,   0.217543859649123
5,   2,   0.000554295792391,   0.063490733355552
5,   3,   1.67E-05,    0.020045727378845
6,   1,   0.023408845738943,   0.215846994535519
6,   2,   0.000820181028004,   0.065017692721444
6,   3,   2.71E-05,    0.021327922476812
7,   1,   0.024338624338624,   0.221327967806841
7,   2,   0.000989534113905,   0.068046914825531
7,   3,   4.01E-05,    0.023411817010049
8,   1,   0.025337147527585,   0.231356356356356
8,   2,   0.000955576989847,   0.073994863567247
8,   3,   4.47E-05,    0.025103738698806
9,   1,   0.043631596197968,   0.234722222222222
9,   2,   0.003320226358397,   0.073271604938272
9,   3,   0.000299446101248,   0.025605898232663
