N,W,Min,Max
4,  1,   0.374999999999995,   32.75
4,  2,   0.312499999999991,   1463.1875
4,  3,   0.281249999999988,   69905.5609609942
5,  1,   0.999999999999996,   25.1510204081633
5,  2,   1.99999999999999 ,   922.8
5,  3,   3.59999999999996 ,   37338.6
6,  1,   1.83333333333333 ,   21.1666666666667
6,  2,   4.83333333333334 ,   645.833333333333
6,  3,   14.8333333333334 ,   20282.0086344409
7,  1,   1.42857142857142 ,   17.4285714285714
7,  2,   3.42857142857142 ,   468.142857142857
7,  3,   10.8571428571429 ,   12930.8034152436
8,  1,   2.50000000000000 ,   15.3890306122449
8,  2,   9.25000000000002 ,   336.433673469388
8,  3,   41.5000000000001 ,   8186.07812499999
9,  1,   2.95238095238096 ,   15.7777777777778
9,  2,   18.4410430839002 ,   316.444444444444
9,  3,   116.384042552187 ,   6515.77777777778
