Name,Culture,Continent,Country,Theory,Reference,scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,int_0,int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8
Sum pyi.1,Cambodia,South East Asia,Cambodia,N,DOI: 10.1007/978-3-030-02695-0_3,244,502,674,1006,1231,,,,,244,258,172,332,225,,,,
Roneat Ek,Cambodia,South East Asia,Cambodia,N,DOI: 10.1007/978-3-030-02695-0_3,181,321,713,875,1026,1201,,,,181,140,392,162,151,175,,,
Roneat Ek,Cambodia,South East Asia,Cambodia,N,DOI: 10.1007/978-3-030-02695-0_3,141,384,494,686,885,1081,1209,,,141,243,110,192,199,196,128,,
Roneat Ek,Cambodia,South East Asia,Cambodia,N,DOI: 10.1007/978-3-030-02695-0_3,128,310,499,659,850,1005,1186,,,128,182,189,160,191,155,181,,
Sum pyi,Cambodia,South East Asia,Cambodia,N,DOI: 10.1007/978-3-030-02695-0_3,193,399,618,703,840,1039,1188,,,193,206,219,85,137,199,149,,
China_87,China,East Asia,China,N,DOI: 10.1017/S0003598X00113432,315,525,822,1217,,,,,,315,210,297,395,,,,,
China_88,China,East Asia,China,N,DOI: 10.1017/S0003598X00113432,203,400,704,905,1200,,,,,203,197,304,201,295,,,,
China_89,China,East Asia,China,N,DOI: 10.1017/S0003598X00113432,250,428,580,780,980,1180,,,,250,178,152,200,200,200,,,
China_90,China,East Asia,China,N,DOI: 10.1017/S0003598X00113432,166,343,499,646,881,1198,,,,166,177,156,147,235,317,,,
Uganda_125,Uganda,Africa,Uganda,N,DOI: 10.1038/165040a0,239,475,713,948,1192,,,,,239,236,238,235,244,,,,
Uganda_126,Uganda,Africa,Uganda,N,DOI: 10.1038/165040a0,239,493,731,971,1200,,,,,239,254,238,240,229,,,,
Bac,Vietnam,South East Asia,Vietnam,N,DOI: 10.2307/40285522,189,501,698,891,1200,,,,,189,312,197,193,309,,,,
Dan Ca,Vietnam,South East Asia,Vietnam,N,DOI: 10.2307/40285522,182,281,702,883,1200,,,,,182,99,421,181,317,,,,
Ho Mai Nhi,Vietnam,South East Asia,Vietnam,N,DOI: 10.2307/40285522,166,513,695,859,1200,,,,,166,347,182,164,341,,,,
Sa Mac,Vietnam,South East Asia,Vietnam,N,DOI: 10.2307/40285522,338,504,699,1026,1200,,,,,338,166,195,327,174,,,,
Vong Co,Vietnam,South East Asia,Vietnam,N,DOI: 10.2307/40285522,375,519,704,866,1200,,,,,375,144,185,162,334,,,,
Uganda_138,Uganda,Africa,Uganda,N,DOI: 10.2307/768436,236,488,745,941,1211,,,,,236,252,257,196,270,,,,
Uganda_139,Uganda,Africa,Uganda,N,DOI: 10.2307/768436,201,476,731,971,1196,,,,,201,275,255,240,225,,,,
Ethiopia_97,Ethiopia,Africa,Ethiopia,N,DOI: 10.3406/ethio.2013.1539,353,548,719,1010,1200,,,,,353,195,171,291,190,,,,
Ethiopia_98,Ethiopia,Africa,Ethiopia,N,DOI: 10.3406/ethio.2013.1539,343,528,720,1051,1200,,,,,343,185,192,331,149,,,,
Ethiopia_99,Ethiopia,Africa,Ethiopia,N,DOI: 10.3406/ethio.2013.1539,338,540,737,1005,1200,,,,,338,202,197,268,195,,,,
Ethiopia_100,Ethiopia,Africa,Ethiopia,N,DOI: 10.3406/ethio.2013.1539,375,554,759,1091,1200,,,,,375,179,205,332,109,,,,
Ethiopia_101,Ethiopia,Africa,Ethiopia,N,DOI: 10.3406/ethio.2013.1539,339,507,682,1043,1200,,,,,339,168,175,361,157,,,,
Ethiopia_102,Ethiopia,Africa,Ethiopia,N,DOI: 10.3406/ethio.2013.1539,326,554,712,984,1200,,,,,326,228,158,272,216,,,,
Ethiopia_103,Ethiopia,Africa,Ethiopia,N,DOI: 10.3406/ethio.2013.1539,309,531,692,1014,1200,,,,,309,222,161,322,186,,,,
Ethiopia_104,Ethiopia,Africa,Ethiopia,N,DOI: 10.3406/ethio.2013.1539,308,482,657,999,1200,,,,,308,174,175,342,201,,,,
Ethiopia_105,Ethiopia,Africa,Ethiopia,N,DOI: 10.3406/ethio.2013.1539,333,562,713,1088,1200,,,,,333,229,151,375,112,,,,
Ethiopia_106,Ethiopia,Africa,Ethiopia,N,DOI: 10.3406/ethio.2013.1539,343,583,691,1098,1200,,,,,343,240,108,407,102,,,,
Ethiopia_107,Ethiopia,Africa,Ethiopia,N,DOI: 10.3406/ethio.2013.1539,314,554,731,1082,1200,,,,,314,240,177,351,118,,,,
